,Year,Quarter,Month,Employee,Cost Object,Paid FTE,Salary,Overhead,Total Expenses
241,2010,Q2,5,Employee 39,::DC/GO/CIS/BY/Minsk,1.0000000632857786,900.0,629.8112,1529.8112
242,2010,Q2,5,Employee 65,::DC/GO/CIS/BY/Minsk,0.7086614272354943,566.9291,446.32270000000005,1013.2518
243,2010,Q2,6,Employee 4,::DC/GO/CIS/BY/Minsk,0.5397727272727273,485.7955,349.13410000000005,834.9296
244,2010,Q2,6,Employee 39,::DC/GO/CIS/BY/Minsk,0.3678160458823759,331.0345,237.90930000000003,568.9438
245,2010,Q2,6,Employee 65,::DC/GO/CIS/BY/Minsk,0.6785714022410444,542.8571,438.9112999999999,981.7683999999999
246,2010,Q3,7,Employee 4,::DC/GO/CIS/BY/Minsk,0.5159573918419024,464.3617,314.5382,778.8999
247,2010,Q3,7,Employee 65,::DC/GO/CIS/BY/Minsk,0.8388889913593215,671.1111,511.4041999999997,1182.5152999999998
248,2010,Q3,8,Employee 4,::DC/GO/CIS/BY/Minsk,1.0000000126861979,900.0,676.5165,1576.5165
249,2010,Q3,8,Employee 65,::DC/GO/CIS/BY/Minsk,0.9999999999999999,800.0,676.5168,1476.5167999999999
250,2010,Q3,9,Employee 4,::DC/GO/CIS/BY/Minsk,1.000000102728875,900.0,614.0499,1514.0499
251,2010,Q3,9,Employee 65,::DC/GO/CIS/BY/Minsk,0.9999999308873171,799.9999,614.0499000000002,1414.0498000000002
252,2010,Q4,10,Employee 4,::DC/GO/CIS/BY/Minsk,1.0000000245579617,900.0,637.2295000000001,1537.2295000000001
253,2010,Q4,10,Employee 65,::DC/GO/CIS/BY/Minsk,0.9999998162230156,800.0,637.2291,1437.2291
254,2010,Q4,11,Employee 4,::DC/GO/CIS/BY/Minsk,0.9999999573135866,900.0,589.6515000000002,1489.6515000000002
255,2010,Q4,11,Employee 65,::DC/GO/CIS/BY/Minsk,0.9999999939212557,799.9999,589.6517,1389.6516000000001
256,2010,Q4,12,Employee 6,::DC/GO/CIS/BY/Minsk,1.0000000698699785,870.0,599.7482000000001,1469.7482
